N,P,K,temperature,humidity,ph,rainfall,label
38,77,22,28.234829,69.3159965,6.313284267999999,35.36831423,lentil
108,33,31,23.69287069,66.76090123,7.393825704,144.6576424,coffee
82,40,45,26.21312799,81.70476368,6.667633355,180.1237765,jute
47,63,16,27.44003279,67.10464369,6.661870999,72.50669768,blackgram
11,61,21,18.62328774,23.02410338,5.532100554,135.33780330000002,kidneybeans
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,pigeonpeas
32,66,17,34.9466155,65.26774011,7.162357641,70.1415139,blackgram
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice
22,51,16,27.96583691,61.34900107,8.639586199,70.10472076,mothbeans
31,130,198,21.80129837,92.73446667,5.554823557000001,120.05866709999998,apple
100,41,22,22.4204752,84.55794703,7.318802162000001,93.46595573,cotton
54,66,52,36.56769731,93.79503425,6.867554147000001,104.4218596,papaya
119,44,15,22.14593688,82.85975490000001,7.091992365,60.65381719,cotton
40,5,32,26.07010807,96.7036223,5.981169595,143.533473,coconut
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
27,43,23,31.70447482,56.85420099,5.875333778,44.94317432,mothbeans
37,78,79,19.95264829,14.82633099,7.786366322,88.6810311,chickpea
17,16,14,16.39624284,92.18151927,6.625538653,102.944161,orange
100,6,53,29.05248036,93.92217834,6.105909623,23.66620626,muskmelon
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,mungbean
131,49,22,25.49848236,79.9751579,7.306918817000001,67.05961949,cotton
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,blackgram
39,70,52,26.26559543,90.79668055,6.65149129,59.49373381,papaya
111,27,31,23.59302313,55.27564977,6.0433309510000015,191.3980675,coffee
19,21,34,30.01592643,53.19212381,5.074272692,97.72843182,mango
91,24,55,26.27061608,83.09194521,6.259086582999999,46.76837499,watermelon
81,36,38,23.76554749,87.98329901,6.334837865,150.31661519999997,jute
3,49,18,27.91095209,64.70930606,3.692863601,32.67891866,mothbeans
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
139,35,15,25.248679,83.4630147,5.898293044,86.55517751,cotton
32,48,18,26.45707778,56.40226277,5.993513566,64.16167699,mothbeans
13,73,20,30.50420876,35.48885969,5.391560417999999,162.59277230000004,pigeonpeas
40,78,20,19.18572809,20.83398341,5.669236258,80.15293435,kidneybeans
37,66,85,20.93175255,18.91295403,6.456148474,78.06910795,chickpea
20,8,12,25.2990432,94.96419851,7.260416405,117.9733424,orange
60,58,51,42.07213781,92.92203105,6.840802254,165.7412972,papaya
26,50,19,27.3179125,51.66921088,6.005242945,32.55919573,mothbeans
32,71,85,20.62767492,14.44008871,6.4039823160000005,92.06630306,chickpea
14,58,17,30.53684308,59.96664731,4.605700542,33.48919022,mothbeans
92,81,52,28.0106804,76.52808057,5.891413895,103.7040783,banana
25,129,195,17.98667801,81.17712085,5.777271492000001,72.37127689,grapes
105,14,50,26.2148837,87.68839820000002,6.419052193,59.65590798,watermelon
21,63,17,25.08966129,68.17543102,6.559681838,41.45486619,lentil
21,39,20,27.06179658,52.3003173,7.388007482999999,60.74583498,mothbeans
5,24,40,24.692258,93.87030088,6.297907578999999,104.6735454,pomegranate
40,121,199,26.18159716,81.03886263,6.315586313,66.05911698,grapes
27,8,32,27.00648436,96.46168931,5.627860548999998,144.3331315,coconut
27,80,15,19.07096165,21.21092266,5.7883869510000014,86.21917578,kidneybeans
60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice
22,62,16,34.6455408,54.32342534,4.828936119,180.9009998,pigeonpeas
